empezar, vs, pret. perfecto;empezar;zaczynać;vs;pret_perfecto;habéis empezado;;False;
empezar, ellos, pret. perfecto;empezar;zaczynać;ellos;pret_perfecto;han empezado;;False;
escribir, yo, presente;escribir;pisać;yo;presente;escribo;piszę;False;
escribir, tu, presente;escribir;pisać;tu;presente;escribes;piszesz;False;
escribir, el, presente;escribir;pisać;el;presente;escribe;pisze;False;
escribir, ns, presente;escribir;pisać;ns;presente;escribimos;piszemy;False;
escribir, vs, presente;escribir;pisać;vs;presente;escribís;piszecie;False;
escribir, ellos, presente;escribir;pisać;ellos;presente;escriben;piszą;False;
escribir, yo, pret. indefinido;escribir;pisać;yo;pret_indefinido;escribí;pisałem;False;
escribir, tu, pret. indefinido;escribir;pisać;tu;pret_indefinido;escribiste;pisałeś;False;
escribir, el, pret. indefinido;escribir;pisać;el;pret_indefinido;escribió;pisał;False;
escribir, ns, pret. indefinido;escribir;pisać;ns;pret_indefinido;escribimos;pisaliśmy;False;
escribir, vs, pret. indefinido;escribir;pisać;vs;pret_indefinido;escribisteis;pisaliście;False;
escribir, ellos, pret. indefinido;escribir;pisać;ellos;pret_indefinido;escribieron;pisali;False;
escribir, yo, pret. perfecto;escribir;pisać;yo;pret_perfecto;he escrito;;True;
escribir, tu, pret. perfecto;escribir;pisać;tu;pret_perfecto;has escrito;;True;
escribir, el, pret. perfecto;escribir;pisać;el;pret_perfecto;ha escrito;;True;
escribir, ns, pret. perfecto;escribir;pisać;ns;pret_perfecto;hemos escrito;;True;
escribir, vs, pret. perfecto;escribir;pisać;vs;pret_perfecto;habéis escrito;;True;
escribir, ellos, pret. perfecto;escribir;pisać;ellos;pret_perfecto;han escrito;;True;
estar, yo, presente;estar;być;yo;presente;estoy;jestem;True;
estar, tu, presente;estar;być;tu;presente;estás;jesteś;True;
estar, el, presente;estar;być;el;presente;está;jest;True;
estar, ns, presente;estar;być;ns;presente;estamos;jestmy;False;
estar, vs, presente;estar;być;vs;presente;estáis;jestcie;False;
estar, ellos, presente;estar;być;ellos;presente;están;są;True;
estar, yo, pret. indefinido;estar;być;yo;pret_indefinido;estuve;byłem;True;
estar, tu, pret. indefinido;estar;być;tu;pret_indefinido;estuviste;byłeś;True;
estar, el, pret. indefinido;estar;być;el;pret_indefinido;estuvo;był;True;
estar, ns, pret. indefinido;estar;być;ns;pret_indefinido;estuvimos;byliśmy;True;
estar, vs, pret. indefinido;estar;być;vs;pret_indefinido;estuvisteis;byliście;True;
estar, ellos, pret. indefinido;estar;być;ellos;pret_indefinido;estuvieron;byli;True;
estar, yo, pret. perfecto;estar;być;yo;pret_perfecto;he estado;;False;
estar, tu, pret. perfecto;estar;być;tu;pret_perfecto;has estado;;False;
estar, el, pret. perfecto;estar;być;el;pret_perfecto;ha estado;;False;
